Multiplier_Sub_Module	Multiplicant	-	-	pi	\Multiplicant
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$332	sky130_fd_sc_hd__nand3_1	C	in	$abc$320$new_n23
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$332	sky130_fd_sc_hd__nand3_1	Y	out	$abc$320$new_n24
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$333	sky130_fd_sc_hd__nor2b_1	A	in	\Negation
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$333	sky130_fd_sc_hd__nor2b_1	B_N	in	\Shift
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$333	sky130_fd_sc_hd__nor2b_1	Y	out	$abc$320$new_n25
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$334	sky130_fd_sc_hd__a22oi_1	A1	in	\Multiplicant [2]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$334	sky130_fd_sc_hd__a22oi_1	A2	in	$abc$320$new_n15
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$334	sky130_fd_sc_hd__a22oi_1	B1	in	$abc$320$new_n25
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$334	sky130_fd_sc_hd__a22oi_1	B2	in	\Multiplicant [1]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$334	sky130_fd_sc_hd__a22oi_1	Y	out	$abc$320$new_n26
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$335	sky130_fd_sc_hd__a31oi_1	A1	in	$abc$320$new_n22
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$335	sky130_fd_sc_hd__a31oi_1	A2	in	$abc$320$new_n24
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$335	sky130_fd_sc_hd__a31oi_1	A3	in	$abc$320$new_n26
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$335	sky130_fd_sc_hd__a31oi_1	B1	in	\Zero
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$335	sky130_fd_sc_hd__a31oi_1	Y	out	$abc$320$Result[2]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$336	sky130_fd_sc_hd__or4_1	A	in	\Multiplicant [0]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$336	sky130_fd_sc_hd__or4_1	B	in	\Multiplicant [1]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$336	sky130_fd_sc_hd__or4_1	C	in	\Multiplicant [2]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$336	sky130_fd_sc_hd__or4_1	D	in	\Multiplicant [3]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$336	sky130_fd_sc_hd__or4_1	X	out	$abc$320$new_n28
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$337	sky130_fd_sc_hd__o31ai_1	A1	in	\Multiplicant [0]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$337	sky130_fd_sc_hd__o31ai_1	A2	in	\Multiplicant [1]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$337	sky130_fd_sc_hd__o31ai_1	A3	in	\Multiplicant [2]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$337	sky130_fd_sc_hd__o31ai_1	B1	in	\Multiplicant [3]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$337	sky130_fd_sc_hd__o31ai_1	Y	out	$abc$320$new_n29
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$338	sky130_fd_sc_hd__nand3_1	A	in	$abc$320$new_n17
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$338	sky130_fd_sc_hd__nand3_1	B	in	$abc$320$new_n28
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$338	sky130_fd_sc_hd__nand3_1	C	in	$abc$320$new_n29
